# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.load.all.modules.ms,1773886639730000000,1773886654262000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1773886639730000000,1773886654262000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1773886639730000000,1773886654262000000,0
workspaceModel.mutableEntityStorage.entities.ms,1773886639730000000,1773886654262000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1773886639730000000,1773886654262000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1773886639730000000,1773886654262000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1773886639730000000,1773886654262000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1773886639730000000,1773886654262000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1773886639730000000,1773886654262000000,0
workspaceModel.save.cache.to.file.ms,1773886639730000000,1773886654262000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1773886639730000000,1773886654262000000,0
workspaceModel.load.cache.from.file.ms,1773886639730000000,1773886654262000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1773886639730000000,1773886654262000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1773886639730000000,1773886654262000000,0
workspaceModel.load.cache.metadata.from.file.ms,1773886639730000000,1773886654262000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1773886639730000000,1773886654262000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1773886639730000000,1773886654262000000,0
workspaceModel.updates.precise.ms,1773886639730000000,1773886654262000000,0
workspaceModel.loading.total.ms,1773886639730000000,1773886654262000000,48
workspaceModel.loading.from.cache.ms,1773886639730000000,1773886654262000000,28
workspaceModel.updates.ms,1773886639730000000,1773886654262000000,0
workspaceModel.collect.changes.ms,1773886639730000000,1773886654262000000,0
workspaceModel.init.bridges.ms,1773886639730000000,1773886654262000000,0
workspaceModel.check.recursive.update.ms,1773886639730000000,1773886654262000000,0
workspaceModel.updates.count,1773886639730000000,1773886654262000000,0
workspaceModel.replace.project.model.ms,1773886639730000000,1773886654262000000,0
workspaceModel.update.unloaded.entities.ms,1773886639730000000,1773886654262000000,0
workspaceModel.pre.handlers.ms,1773886639730000000,1773886654262000000,0
workspaceModel.to.snapshot.ms,1773886639730000000,1773886654262000000,0
workspaceModel.initializing.ms,1773886639730000000,1773886654262000000,0
